"target_end_date","ICUbed_mean"
2020-03-22,486
2020-03-23,621
2020-03-24,756
2020-03-25,888
2020-03-26,1290
2020-03-27,1583
2020-03-28,1755
2020-03-29,2037
2020-03-30,2352
2020-03-31,2710
2020-04-01,3022
2020-04-02,3396
2020-04-03,3713
2020-04-04,4126
2020-04-05,4376
2020-04-06,4504
2020-04-07,4593
2020-04-08,4895
2020-04-09,4925
2020-04-10,4908
2020-04-11,5009
2020-04-12,5198
2020-04-13,5158
2020-04-14,5225
2020-04-15,5205
2020-04-16,4367
2020-04-17,5039
2020-04-18,4996
2020-04-19,4878
2020-04-20,4814
2020-04-21,4729
2020-04-22,4690
2020-04-23,3918
2020-04-24,4540
2020-04-25,4410
2020-04-26,4284
2020-04-27,4157
2020-04-28,4071
2020-04-29,3923
2020-04-30,3769
2020-05-01,3460
2020-05-02,3501
2020-05-03,3430
2020-05-04,3330
2020-05-05,3281
2020-05-06,3098
2020-05-07,2976
2020-05-08,2811
2020-05-09,2664
2020-05-10,2488
2020-05-11,2450
2020-05-12,2375
2020-05-13,2308
2020-05-14,2223
2020-05-15,2156
2020-05-16,2077
2020-05-17,1981
2020-05-18,1908
2020-05-19,1836
2020-05-20,1761
2020-05-21,1695
2020-05-22,1581
2020-05-23,1502
2020-05-24,1406
2020-05-25,1366
2020-05-26,1273
2020-05-27,1261
2020-05-28,1219
2020-05-29,1164
2020-05-30,1124
2020-05-31,1050
2020-06-01,999
2020-06-02,907
2020-06-03,865
2020-06-04,832
2020-06-05,758
